Video ID,Video Text Create Timestamp,Video Description Text Segments 1,Video Title Text Segments 1,Video Text Update Timestamp
x20duB3U7n8,2020-10-19T16:49:57.555704+00:00,"Tikkun Olam is a concept in Judaism which I currently understand as the potential to heal the world.

The spoken voice you hear periodically throughout this recording belongs to Keith Wilks, author of Addiction and the Pulpit: Living a Double Life. I met Keith as he served as pastor at the First United Methodist Church in Portales, New Mexico. I am immensely grateful to have worked with him.

I made this video to remind myself of some of the voices that have taught me along the way. They appear in this order in the video.

Mahatma Gandhi, Nelson Mandela, Martin Luther King Jr, Paramahansa Yogananda, Krishnamurti, Bill Wilson, Alan Watts, Dalai Lama, Thic Nhat Hanh, Pema Chodron, Sadhguru, Mooji, Bill Plotkin, Deepak Chopra, Eckhardt Tolle, Charles Eisenstein, Bayo Akomolafe, Sue Monk Kidd, Bell Hooks, Barbara Kingsolver, Daniel Berrigan, Richard Rohr, Thomas Keating, Zalman Schachter, Helen Schucman, Gary Renard, Fred Rogers, Joseph Campbell, Charles Darwin, Carl Jung, Teilhard de Chardin, Thomas Berry, Barbara Marx Hubbard, Brian Swimme, John Coltrane, James Taylor, David Wilcox, Chris Thile, Julian Lage, Mike Love, Victor Wooten, Andrew Bird",Tikkun Olam,2023-08-11T00:13:38.181438+00:00
RiDW6QTHRNI,2020-10-19T22:00:23.539692+00:00,,Lost in Your Love,2023-08-09T17:56:14.936735+00:00
eg-seqZN4tI,2020-10-20T02:55:30.479083+00:00,,Abducted,2023-08-10T17:47:37.552343+00:00
DDbRcRAM21c,2020-10-20T04:12:39.433147+00:00,Matthew Hope wrote this chord progression. I wrote the lyrics and made this recording.,New Hope,2023-08-11T15:45:47.448629+00:00
U6W2aKvkTFM,2020-10-20T04:58:55.363997+00:00,"Jerome Kern, Oscar Hammerstein 1939",,2023-08-09T17:32:08.724226+00:00
1X2aPIOlqWI,2020-10-20T06:33:45.936804+00:00,"Take my by the hand and lead me to places where I would not go on my own. If I am to become who I want to be, I must go where I don't want to go. For when I was a young man, I went where I pleased, but now that I'm older my children lead me. Take me by the hand and lead me to places where I would not go on my own.",,2023-08-11T13:04:49.241622+00:00
fwFhb2GkALw,2020-10-20T07:42:00.543734+00:00,,How Many Times?,2023-08-09T20:49:39.159183+00:00
C1O26ikY5lQ,2020-10-20T09:15:21.551329+00:00,,Every Little Thing,2023-08-11T02:58:29.330903+00:00
 -JKfKQ7y-Vc,2020-10-22T12:31:57.227+00:00,,Winter's Icy Grace,2023-08-10T11:26:24.752959+00:00
NQy2ZR-j2k4,2020-10-22T22:15:32.194067+00:00,,Nardis-- Miles Davis 1958,2023-08-09T23:10:14.070184+00:00
G12QcVMzZWk,2020-10-23T17:57:57.607618+00:00,,Travelin Trav -- seeing through the Illusion of Separate-self--forgiveness,2023-08-11T08:57:42.468994+00:00
HcRCjuBFygY,2020-10-27T11:59:11.98327+00:00,,I Am the Way. I Am the Truth. I Am the Life. The Light has come in me!,2023-08-10T02:04:30.052433+00:00
8Sl6hesHmN8,2020-10-29T19:20:30.10063+00:00,,"The Moth, The Mountain, and the Middle Aged Man (Chapter 1)",2023-08-09T19:06:37.139636+00:00
O9VnfHQ240I,2020-10-30T09:32:33.957985+00:00,,Forgiveness in the Park,2023-08-10T14:34:48.417802+00:00
35GAqtEvIu4,2020-10-31T09:23:47.614642+00:00,,Cruise Control (Travis Erwin),2023-08-10T09:31:14.846921+00:00
