Video ID,Approx Duration (ms),Video Category,Video Description (Original),Channel ID,Tag 1,Tag 2,Tag 3,Tag 4,Video Title (Original),Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
WwtzHMsRKpg,380000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,"Fingers, Moons, & Expression of Worth",Public,Processed,2024-11-08T20:57:42+00:00,2024-11-08T20:58:45+00:00
ZBa5OKLO5dk,238000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Recent Activity,Public,Processed,2024-11-10T10:23:28+00:00,2024-11-10T10:34:13+00:00
wpJXiPJ1_cM,569000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,The Vine,Public,Processed,2024-11-11T21:07:07+00:00,2024-11-11T21:13:50+00:00
CAh3HTXuh0E,45000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,The Coming of the Lord,Public,Processed,2024-11-12T03:17:13+00:00,2024-11-12T03:18:19+00:00
yjsbhTGAbng,52000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,That line from Jaco,Public,Processed,2024-11-12T03:22:03+00:00,2024-11-12T03:22:59+00:00
uK9Y64DEdYs,837000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,"Religious Trauma, Non-Binary Teachings, & Why Jesus Never Wrote a Book",Public,Processed,2024-11-13T16:27:27+00:00,2024-11-13T16:29:18+00:00
ddu9Jdamykc,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,"November 13, 2024",Public,Processed,2024-11-13T16:58:23+00:00,2024-11-13T16:58:55+00:00
qypJuK507EM,868000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Performing Artists: Come To Me & I Will Give You Rest,Public,Processed,2024-11-14T14:18:28+00:00,2024-11-23T19:00:32+00:00
A4O77Z5kwUQ,449000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,TransRationalBlues: Cautionary Tales,Public,Processed,2024-11-14T18:37:22+00:00,2024-11-20T19:00:05+00:00
Xu9YhnPjN54,917000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,TransRationalBlues: The Big Gay Scare,Public,Processed,2024-11-14T18:39:33+00:00,2024-11-21T19:00:22+00:00
WA5o21fVgsY,520000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,TransRationalBlues: First Stone Ministries,Public,Processed,2024-11-14T18:48:58+00:00,2024-11-22T19:00:18+00:00
