Video ID,Approx Duration (ms),Video Category,Video Description (Original),Channel ID,Video Title (Original),Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
QlU1ZorCDPc,356000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Managing Bipolar I (part II),Public,Processed,2022-10-15T07:17:00+00:00,2022-10-15T07:19:58+00:00
BK0grQHv004,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,What is L&tEoW?,Public,Processed,2022-10-15T23:25:44+00:00,2022-10-15T23:26:20+00:00
jhGj4YvSZl0,59000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,What is L&tEoW? What are the helpful questions?,Public,Processed,2022-10-16T00:22:18+00:00,2022-10-16T00:22:36+00:00
_lImkLj-XwQ,137000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"New Wine, Old Skins (Being re-membered)",Public,Processed,2022-10-16T12:46:51+00:00,2022-10-16T12:49:22+00:00
eOLhBrzf7Xo,255000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Guitar Lesson: strumming technique,Public,Processed,2022-10-17T02:14:10+00:00,2022-10-17T02:18:09+00:00
czYwke7hOu0,93000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Johnny - Heartcore Leadership,Public,Processed,2022-10-17T11:05:34+00:00,2022-10-17T11:06:24+00:00
DaGd3eI8x7w,78000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Shaggy Inkcap Mushrooms: L&tEoW,Public,Processed,2022-10-17T12:14:57+00:00,2022-10-17T12:17:09+00:00
R1_Y8aJoSYA,56000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Tucker Budzyn,Unlisted,Processed,2022-10-17T12:38:18+00:00,2022-10-17T12:39:17+00:00
oR6bikaKlgI,56000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Tucker Budzyn and Grief,Public,Processed,2022-10-17T12:43:34+00:00,2022-10-17T12:44:11+00:00
QjPOr1c4Hik,12000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Boots on the Ground,Public,Processed,2022-10-17T18:06:08+00:00,2022-10-17T18:06:22+00:00
LtwFVI_Ptms,279000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,GO PRO TRAVELIN TRAV,Public,Processed,2022-10-17T21:21:22+00:00,2022-10-20T18:37:37+00:00
gfZLh6SODqU,106000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Chasing Light: I Heard You Singing,Public,Processed,2022-10-18T02:35:31+00:00,2022-10-18T02:36:45+00:00
Xurdyug7-d8,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,L&tEoW: Chasing the Light,Public,Processed,2022-10-18T12:20:08+00:00,2022-10-18T12:20:47+00:00
tc1fbA2yDH4,59000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,God’s Big Yes,Public,Processed,2022-10-18T13:20:00+00:00,2022-10-18T13:20:19+00:00
QaA3VUhd5nQ,13000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Squirrel’s Descent,Public,Processed,2022-10-18T13:37:57+00:00,2022-10-18T13:38:05+00:00
6ijWYcGku5U,11000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Squirrel’s Ascent,Public,Processed,2022-10-18T13:38:54+00:00,2022-10-18T13:39:10+00:00
sSmuZ0l2g7M,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Chasing the Light Together,Public,Processed,2022-10-18T13:44:17+00:00,2022-10-18T13:44:38+00:00
KpKvAqb6qq8,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,L&tEoW: Search for 12,Public,Processed,2022-10-18T13:47:59+00:00,2022-10-18T13:48:23+00:00
ORhDPOH8iP4,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,L&tEoW: Giving our Best,Public,Processed,2022-10-18T17:36:20+00:00,2022-10-18T17:37:08+00:00
BlLGIuFbbx8,49000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Declaration of Independence?,Public,Processed,2022-10-18T17:44:49+00:00,2022-10-18T17:45:07+00:00
